title,price,img
Ken-A-Vision 910-171-200 FlexCam 2-3.2 Megapixel 1080P Digital High Definition Document Camera/Visualiser,$399.00,https://m.media-amazon.com/images/I/61YFdCb1+kL._AC_UL320_.jpg
Panasonic KV-S7075C-V Document Scanner,"$6,176.25",https://m.media-amazon.com/images/I/313uPuB8GqL._AC_UL320_.jpg
Panasonic KV-S2028C-V Document Scanner,"$1,064.59",https://m.media-amazon.com/images/I/31EIZNa98YL._AC_UL320_.jpg
Panasonic KV-S2048C-V Document Scanner,"$2,470.13",https://m.media-amazon.com/images/I/21b6duziTrL._AC_UL320_.jpg
Panasonic KV-S3065CW-V Document Scanner,"$4,808.77",https://m.media-amazon.com/images/I/21xwkZygmZL._AC_UL320_.jpg
Persona M30EDUAL Side Base Model 2YR Printer Warr,"$1,471.88",https://m.media-amazon.com/images/I/11Ii+Qo4geL._AC_UL320_.jpg
Maxell Genpro Portable Hard Drive 665206,$106.33,https://m.media-amazon.com/images/I/51V6AJ64xVL._AC_UL320_.jpg
Xerox DocuMate 700 Fladbed Scanner for Large Documents with USB and VRS Image Enhancement (XDM7005D-WU),$964.00,https://m.media-amazon.com/images/I/61a7JKHLxIL._AC_UL320_.jpg
Brother ADS-3100 High-Speed Desktop Scanner | Compact with Scan Speeds of Up to 40ppm,$329.99,https://m.media-amazon.com/images/I/61u30mmLB3L._AC_UL320_.jpg
KV-S4085CL Sf Clr Duplex 85PPM USB 2.0 Lgl 600DPI 300PG Adf,"$7,149.50",https://m.media-amazon.com/images/I/31Vgpx3a1VL._AC_UL320_.jpg
Iriscan Express 2 Asian Portable Scanner,$176.65,https://m.media-amazon.com/images/I/11drpR50OpL._AC_UL320_.jpg
Infoscan 3 Lite,$120.00,https://m.media-amazon.com/images/I/41o8mVh8ZrL._AC_UL320_.jpg
Team Edition V8 1-user Pack Of Software,$135.12,https://m.media-amazon.com/images/I/21UN-ar3XmL._AC_UL320_.jpg
Ambir PS665 Simplex Scanner with Adobe SCAN2PDF,$158.75,https://m.media-amazon.com/images/I/11+49wa6x-L._AC_UL320_.jpg
DYMO CardScan Lead Qualifier ( CSLQ-A08110 ),$566.21,https://m.media-amazon.com/images/I/515ZH8EZV0L._AC_UL320_.jpg
InfoScan Pen Scanner with Communicator PC Software,$139.38,https://m.media-amazon.com/images/I/51F1m69dFRL._AC_UL320_.jpg
BenQ ScanWit 2740S Film Scanner,$329.20,https://m.media-amazon.com/images/I/41AN0G1EQDL._AC_UL320_.jpg
MicrotekTMA 1600 Transparency Media Adapter for scanmaker 9800XL,$398.16,https://m.media-amazon.com/images/I/31DZZCKW9FL._AC_UL320_.jpg
Microtek 3800 ScanMaker Flatbed Scanner,$79.99,https://m.media-amazon.com/images/I/410NDWAFYXL._AC_UL320_.jpg
Agfa DuoScan T2500 Scanner,"$5,127.25",https://m.media-amazon.com/images/I/51hNx4j-uBL._AC_UL320_.jpg
Agfa DuoScan HiD Scanner,"$2,895.99",https://m.media-amazon.com/images/I/1161E15S8NL._AC_UL320_.jpg
"Xerox Duplex Portable Document Scanner, Xerox Duplex Portable Scanner, Blue & White",$217.99,https://m.media-amazon.com/images/I/51ukKUo3hxL._AC_UL320_.jpg
"Brother DS-640 Compact Mobile Document Scanner, (Model: DS640)",Not Found,https://m.media-amazon.com/images/I/51NN0QnDxNL._AC_UL320_.jpg
"Brother ADS-4300N Professional Desktop Scanner with Fast Scan Speeds, Duplex, and Networking",$349.99,https://m.media-amazon.com/images/I/71CxM-39F2L._AC_UL320_.jpg
Factory-Reconditioned Canon FB630U CanoScan USB Flatbed Scanner,$49.88,https://m.media-amazon.com/images/I/31DX7DX2BZL._AC_UL320_.jpg
Epson Perfection 1240U Photo Color Flatbed Scanner,$269.99,https://m.media-amazon.com/images/I/31XD3CY6S1L._AC_UL320_.jpg
Microtek Artixscan 4000T 35MM Film/Slide 4000DPI 36Bit SCSI Ctlr/CBL/Sl Adap,$557.34,https://m.media-amazon.com/images/I/41BV7V9XQYL._AC_UL320_.jpg
Microtek Scanmaker 5 Flatbed 36Bit SCSI 1000X2000 8.5X14 with Template Kit,"$1,128.38",https://m.media-amazon.com/images/I/21THVWFHWJL._AC_UL320_.jpg
Microtek Scanmaker X6El SCSI Color Flatbed Scanner with Trans Adapter,$139.99,https://m.media-amazon.com/images/I/413GW90EV0L._AC_UL320_.jpg
Acer Acerscan 640P Flatbed 600 X 1200 48Bit Par 8.5 X 11 Scanner,$89.99,https://m.media-amazon.com/images/I/81yc0JV4bnL._AC_UL320_.jpg
Microtek Lightlid Transparency Adapter for Scanmaker V300/V310/V600/X6,$72.72,https://m.media-amazon.com/images/I/4199BWEHJXL._AC_UL320_.jpg
Umax AstraNet e3420 Internet Scanner,$117.48,https://m.media-amazon.com/images/I/31KZ7SJ9MQL._AC_UL320_.jpg
Microtek Scanmaker 4 Legal Size Scanner with Snaptrans Template Kit,$468.13,https://m.media-amazon.com/images/I/41ZS2NY13ZL._AC_UL320_.jpg
Microtek ScanMaker 4700 Flatbed Scanner (PC/Mac),$161.36,https://m.media-amazon.com/images/I/31KAXMJHCEL._AC_UL320_.jpg
Canon IS-32 Color Image Scanner Cartridge,$77.76,https://m.media-amazon.com/images/I/31YFMMN6Z1L._AC_UL320_.jpg
Epson Perfection 1200U Photo Scanner,$305.14,https://m.media-amazon.com/images/I/410M971V7ZL._AC_UL320_.jpg
Brother ADS-3100 High-Speed Desktop Scanner | Compact with Scan Speeds of Up to 40ppm,$329.99,https://m.media-amazon.com/images/I/61u30mmLB3L._AC_UL320_.jpg
Microtek ScanMaker 9600XL Large Format Scanner,"$1,182.04",https://m.media-amazon.com/images/I/31WKC6J93SL._AC_UL320_.jpg
Microtek ScanMaker V6USL USB/SCSI Flatbed Scanner (PC/Mac),$129.99,https://m.media-amazon.com/images/I/3162RZRKKQL._AC_UL320_.jpg
Epson B102001F Stylus Scan 2500,$259.03,https://m.media-amazon.com/images/I/31V95A0PZWL._AC_UL320_.jpg
Canon FB1200S Color Flatbed Scanner (Windows/Mac OS 9),$283.32,https://m.media-amazon.com/images/I/314BEBSSNYL._AC_UL320_.jpg
